Title,Artist,Lyrics
한숨 (BREATHE),Lee Hi (이하이), 한숨    숨을 크게 쉬어봐요 당신의 가슴 양쪽이 저리게 조금은 아파올 때까지 숨을 더 뱉어봐요 당신의 안에 남은 게 없다고 느껴질 때까지   숨이 벅차올라도 괜찮아요 아무도 그댈 탓하진 않아 가끔은 실수해도 돼 누구든 그랬으니까 괜찮다는 말 말뿐인 위로지만   누군가의 한숨 그 무거운 숨을 내가 어떻게 헤아릴 수가 있을까요 당신의 한숨 그 깊일 이해할 순 없겠지만 괜찮아요 내가 안아줄게요   숨이 벅차올라도 괜찮아요 아무도 그댈 탓하진 않아 가끔은 실수해도 돼 누구든 그랬으니까 괜찮다는 말 말뿐인 위로지만  누군가의 한숨 그 무거운 숨을 내가 어떻게 헤아릴 수가 있을까요 당신의 한숨 그 깊일 이해할 순 없겠지만 괜찮아요 내가 안아줄게요   남들 눈엔 힘 빠지는 한숨으로 보일진 몰라도 나는 알고 있죠 작은 한숨 내뱉기도 어려운 하루를 보냈단 걸 이제 다른 생각은 마요 깊이 숨을 쉬어봐요 그대로 내뱉어요   누군가의 한숨 그 무거운 숨을 내가 어떻게 헤아릴 수가 있을까요 당신의 한숨 그 깊일 이해할 순 없겠지만 괜찮아요 내가 안아줄게요   정말 수고했어요6 
내 사랑 (My Love),Lee Hi (이하이),"    늘 멀리서 지켜만봤죠 내 사랑인 것 같아서 그대 같은 마음인 줄 알았죠 다른 곳을 보았지만   바람처럼 이 먼지처럼 잡히지가 않아 보이지않아   remember love you i love you 사랑인 줄 믿었고 운명이라 불렀죠 remember love you i love you 그대 눈동자 속에 내가 살고있는데 너에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑   내 마음의 창에 내리는 눈물이 대답해주네 내게 이룰 수 없는 인연이란 잊어야만 하는 사람  멀어지는 나의 사랑을 보내줘야해요 내가 아니니  / remember love you i love you 사랑인 줄 믿었고 운명이라 불렀죠 remember love you i love you 그대 눈동자 속에 내가 살고있는데 너에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑       i always watched over you from afar because you seemed like my love i thought you felt the same way although you were looking somewhere else   like the wind, like the dust i can’t catch you, i can’t see you  remember love you i love you i believed it was love i called it destiny remember love you i love you i am living in your eyes only answer to you hold onto me when i’m swaying my love, my love   the tears that fall down the window of my heart they answer me you’re someone who i can’t have a person i have to forget   my love is getting farther away i need to let you go because it’s not me  / remember love you i love you i believed it was love i called it destiny remember love you i love you i am living in your eyes only answer to you hold onto me when i’m swaying my love, my love romanized neul meolliseo jikyeomanbwatjyo nae sarangin geot gataseo geudae  geudae gateun maeumin jul aratjyo dareun goseul boatjiman  baramcheoreom i meonjicheoreom japijiga ana jiana  remember love you i love you sarangin jul mideotgo unmyeongira bulleotjyo  remember love you i love you geudae nundongja soge naega salgoinneunde  neoegeman daedapaejwoyo hwicheongineun nal butjabajwoyo  nae sarang nae sarang  nae maeumui change naerineun nunmuri daedapaejune  naege irul su eomneun inyeoniran ijeoyaman haneun saram  meoreojineun naui sarangeul bonaejwoyahaeyo naega anini  remember love you i love you sarangin jul mideotgo unmyeongira bulleotjyo  remember love you i love you geudae nundongja soge naega salgoinneunde  neoegeman daedapaejwoyo hwicheongineun nal butjabajwoyo  nae sarang nae sarang1 "
누구 없소 (NO ONE),Lee Hi (이하이),"  누구 없소 나를 붙잡아줄 님은 없소? 눈을 씻고 찾아봐도 보이지가 않는데 어디 있소 나를 데려가 줄 님은 없소? 난 더 이상 못 참겠소 내게 다가와 주오  pre  똑같은 거리 같은 달빛 속에서 oh, na, na, na 똑같은 자리 같은 잠에 들겠지 oh, na, na, na 이제는 누군갈 더하고 싶어 싶어 짙은 외로움 거두고 싶어 싶어 i don't wanna be alone anymore   ,  똑똑 누구 없소 똑똑 난 여기 있소, 똑똑 거기 누구 없소 똑똑 넌 어디 있소 대답해주오 누구 없소  post  i don’t know i don't know i don't know 대체 님은 어디에 i don’t know i don't know i don't know i don't care about shit   거기 누구 없소 이 주인 없는 그리움을 어쩌냐는 말이오 혼자인 밤은 여전히 잠들기가 아쉬워 머문 적도 없는 나의 님은 대체 어딜 그리도 급하게 가시오    누구 없소 대단히 별 볼 일 없는 나의 하루하루에는 필요해 별일 어지러운 도시와 외로운 이 현실 속에서 나를 데리고 도망가 주오 멀리 누구 없소  pre  똑같은 거리 같은 달빛 속에서 oh, na, na, na 똑같은 자리 같은 잠에 들겠지 oh, na, na, na 이제는 누군갈 더하고 싶어 싶어 짙은 외로움 거두고 싶어 싶어 i don't wanna be alone anymore   ,  똑똑 누구 없소 똑똑 난 여기 있소, 똑똑 거기 누구 없소 똑똑 넌 어디 있소 대답해주오 누구 없소 post  i don't know i don't know i don't know 대체 님은 어디에 i don’t know i don’t know i don't know i don’t care about shit    유난히 긴 밤의 허릴 베어내고 또 이불 아래 고이 모셔놓으리 기다리고 기다리던 그대가 오신 날 밤에 꺼내 드리오리다 똑똑 누구 없소  post ,  i don't know i don't know i don't know 대체 님은 어디에 똑똑, 여봐라 i don’t know i don't know i don't know i don't care about shit 똑똑, 여봐라 누구 없소 여보세요 거기 누구 여보세요 거기 누구 post ,  i don't know i don't know i don't know 누구 없소 여보세요 거기 누구 똑똑 누구 여보세요 거기 누구 똑똑 누구 없소   ,  날 미치게 할 숨 쉬게 할 들뜨게 할 똑똑 누구 없소 "
ONLY,Lee Hi (이하이)," only    be my only one 이렇게 부르고 싶은 이름 내 곁에 손을 잡고서 같이 걸어요  pre 비가 오는 밤에도 외로웠던 낮에도 그대 환한 빛깔을 내게 가득 칠해줘요 내가 더 잘할게요 이렇게 같이 있어준다면   now i believe 라랄라랄라라 부르는 노래 찾고 찾고 찾아 헤매이던 그대와 my, oh my, oh my, oh 내 사랑 be my only love my only love 걸어 걸어가는 발걸음마다 기분 좋아 꼭 둘이서 추는 춤 같아 my, oh my, oh my, oh 내 사랑 be my only love   be my only one 이제는 숨기지 않고도 말할 수 있어 그렇게나 말하고 싶던 i say, i love you, oohooh you, oohooh pre 쉬고 싶은 밤에도 바쁘던 아침에도 그대 내게 쉴 곳을 마음속에 마련해요 oh, ohoh 내가 더 잘할게요 그 맘을 내게 나눠준다면   now i believe 라랄라랄라라 부르는 노래 찾고 찾고 찾아 헤매이던 그대와 my, oh my, oh my, oh 내 사랑 be my only love   my only one 그대를 보면 기대고 싶어 가지고 싶어 이 사랑이라면 어설픈 꿈도 이뤄질 것 같은데   now i believe 걸어걸어 가는 발걸음마다 걸어가는 발걸음 기분 좋아 꼭 둘이서 추는  춤 같아 my, oh my, oh my, oh 내 사랑 내 사랑 be be my only love   라랄라랄라라, 라랄라랄라라 라랄라랄라라, 라랄라랄라라 my only one1 "
홀로 (HOLO),Lee Hi (이하이), 홀로    홀로 있는 게 가만히 있는 게 어려운 일인가요 홀로 있어도 같이 있어도 외로운 건 같아요 one day it will stop   말하는 대로 생각한 대로 되는 것 아닌가요 햇빛을 쬐고 숨 쉬어 봐도 쉽지는 않네요 one day it will stop   and i'm gonna stop cryin' stop feelin' stop thinkin' 'bout you my babe 이제 그만 울 거야 나올 거야 나를 더 아껴줄 거야 and i'm gonna stop   쟤보다 내가 나보다 쟤가 나은 게 중요한가요 수많은 날을 괴로워하다 이제 좀 알겠어요  가만히 앉아 걱정하기엔 난 너무 소중해요 들여다봐요 맘속의 민낯 그대로 괜찮아요 it's gotta stop   and i'm gonna stop cryin' stop feelin' stop thinkin' 'bout you my babe 이제 그만 울 거야 나올 거야 나를 더 아껴줄 거야 and i'm gonna stop and i'm gonna stop   홀로 있는 게 가만히 있는 게 어려운 일인가요 홀로 있어도 같이 있어도 외로운 건 같아요 one day it will stop6 
For You,Lee Hi (이하이),"  when my heart is beating for you that's when i lose my control when my heart is beating for you come close to me come close to me    when my heart is beating for you it's crazy i see nothing but you baby, my heart’s beating for you come close to me give a kiss to me    listen to me, i am the woman that you've been waiting for would you push the button that you've been looking for with just one kiss, you're gonna need it more baby, i could give you what you want    when my heart is beating for you and my mind feels baby blue baby, my heart's beating for you come close to me come close to me close to me  crush, crush   listen to me, i am the man that you've been waiting for would you push the button that you've been looking for with just one kiss, you're gonna need it more baby, i could give you what you want   crush,  when my heart is beating for you you're the only one that make me feel and my mind feels baby blue you're the only one that baby, my heart's beating for you you're the only one that make me feel come close to me come close to me when my heart is beating for you you're the only one that make me feel and my mind feels baby blue you're the only one that baby, my heart's beating for you you're the only one that make me feel come close to me come close to me close to me  crush   you're the only one that make me feel you're the only one that you're the only one that make me feel you're the only one that you're the only one that make me feel you're the only one that you're the only one that make me feel3 "
구원자 (Savior),Lee Hi (이하이)," 구원자     lala, lala, lala, lalala lala, lala, lala, lalala    넌 마치 운명처럼 함께 있음이 자연스러워 준 적도 없는 내 맘의 조각을 넌 이미 가지고 있어  pre  절망 없는 사랑 있을까 넌 날 어디로 데려가려나, yeah, yeah 정말 너는 언제까지라도 내 옆에 있어줄 수 있을까,     나의 구원자 하늘이 내려주셨나 너를 안고 슬픈 꿈을 꾸었다, ohoh 너를 본 순간 말없이 알 수 있었다 내 인생을 망칠 구원자란 걸,   post  lala, lala, lala, lalala lala, lala, lala, lalala   넌 마치 영화처럼 나를 특별하게 만들어줘 숨을 쉬는 것도 의미를 부여하게 돼 모든 아름다운 것들에 날 투영하게 돼 쓸데없이 날 살고 싶게 해,   pre  절망 없는 사랑 있을까 넌 날 어디로 데려가려나, yeah, yeah 정말 너는 언제까지라도 내 옆에 있어줄 수 있을까,     나의 구원자 하늘이 내려주셨나 너를 안고 슬픈 꿈을 꾸었다, ohoh 너를 본 순간 말없이 알 수 있었다 내 인생을 망칠 구원자란 걸,    ,    혀에 녹지 않을 단어들을 꺼내 예쁘게 포장하고 서로의 세상을 건네 모를 리 없잖아 어차피 사랑은 변해 차라리 영원을 믿는 쪽이 마음은 편해 휩쓸려 떠내려가 그곳에서 우리는 어떤 표정 지을까 과거는 희미하고 미래는 미지하잖아 그냥 달이 뜨면 둘만의 궁전으로 떠날까   나의 구원자 하늘이 내려주셨나 나의 구원자,  너를 안고 슬픈 꿈을 꾸었다, ohoh 다 너를 본 순간 말없이 알 수 있었다 너를 본 순간 내 인생을 망칠 구원자란 걸,     lala, lala, lala, lalala lala, lala, lala, lalala "
Special,Lee Hi (이하이)," special         heartbeat, beat, beat oohooh, oohooh, ah heartbeat, beat, beeeeat oohooh, oohooh, ah heartbeat, beat, beat oohooh, oohooh, ah heartbeat, beat, beat oohooh, oohooh, ah    사랑한 건 맞는지 그저 긴 전쟁을 한 건 아닌지 엉킨 기억에 웃다가… 운다 그 누구와의 좋았던 기억보다 너와 함께 힘들었던 시간이 더 그리워 원해서 앓고 있어  pre    사랑은 아파했던 만큼 사랑인 것이라면 넌 내게 다신 없을 사랑 이렇게 해서라도, 상처가 되어서라도 내 안에 자리 잡아줘서 고마워    you are, you are, you aare you are, you are, you aare so special to me you are, you are, you aare you are, you are, you aare so special to me   이게 이별인가봐 we died 이게 미련인가봐 사랑과 집착보다 독한 병인가봐 멍처럼 번지다가 깨끗이 사라질 것만 같던 넌 영원히 나와 함께 자라갈 깊은 흉터인가봐 내 눈물 속에 네가 숨을 쉰다면 마르지 않게 아직도 내 상처 속에 네가 꿈틀거린다면 아물지 않게 할께, 아파도 너면 돼 슬픈 기억이라도 내꺼면 돼      uh, 행복이 아니더라도, 불행이더라도 네가 내게 준 거라면 선물일테니까, 고마워 죽도록 미워도 고마워 또 사랑하고 상처 받아도 두렵지않아 너만큼 날 아프게 할 순 없으니까 no, no, no 소중한 너, 너, 너  pre    사랑은 힘들었던 만큼 사랑인 것이라면 넌 내게 다신 없을 사랑 이렇게 해서라도, 후회가 되어서라도 내 안에 남아 있어줘서 고마워     you are you are, you are, you aare so you are, you are, you aare special so special to me first you made my heart beat then you beat my heart you, you, you, you, you you are, you are, you aare you are, you are you are you aare so special to me special now you beat my heart      heartbeat, beat, beat oohooh, oohooh, ah heartbeat, beat, beeeeat oohooh, oohooh, ah heartbeat, beat, beat oohooh, oohooh, ah heartbeat, beat, beat oohooh, oohooh, ah "
"한두번  (1, 2)",Lee Hi (이하이)," 한두번 1, 2  treasure의      피곤하다며 아직 잔다던 말과 달리 너는 또 밤을 헤집고 다녀 넌 내가 진짜로 바보인 줄 아나 봐 이번엔 그냥 안 넘어가 매번 똑같은 핑계뿐 거짓 눈물도 질렸어  pre  사랑한단 말보다 미안하단 말을 더 많이 들은 것 같아 그만하자 넌 장미 없는 가시 같아    눈감아주는 것도 한두 번 한두 번 한두 번이어야지 모른 척하는 것도 한두 번 한두 번 한두 번이어야지 입만 열면 거짓말 걸리질 말던가 정도껏 좀 해라 적당히를 몰라 상처 주는 것도 한두 번 한두 번 한두 번이어야지   oh, baby 제발 오해 말아줘 no, no 속상했지 우리 자기 화 풀어 내가 백 번은 잘못했어 yeah brr don't worry 어제 i was home 적적한 날씨 텁텁한 기분에 보풀이 풍성한 이불을 뒤집어쓴 feeling 잘할게 swerving 마지막 기횔 줘 미안해 girl  난 널 두고 떠날 생각 없어 my love 누워 내 옆에서 불러줘 lullaby 어딜 가 왜 또 뿔이나 있어 나 또 미쳐  pre  사랑한단 말보다 미안하단 말을 더 많이 들은 것 같아 그만하자 넌 장미 없는 가시 같아    눈감아주는 것도 한두 번 한두 번 한두 번이어야지 모른 척하는 것도 한두 번 한두 번 한두 번이어야지 입만 열면 거짓말 걸리질 말던가 정도껏 좀 해라 적당히를 몰라 상처 주는 것도 한두 번 한두 번 한두 번이어야지   네가 나한테 물 먹일 때마다 쪽팔려 죽을 것 같아 그냥 말을 말자 내 입만 아프다 너를 만나서 단 하루도 마음이 편한 적 없고 그냥 엿 같았어    눈감아주는 것도 한두 번 한두 번 한두 번이어야지 모른 척하는 것도 한두 번 한두 번 한두 번이어야지 입만 열면 거짓말 걸리질 말던가 정도껏 좀 해라 적당히를 몰라 상처 주는 것도 한두 번 한두 번 한두 번이어야지 yeah, yeah "
Golden Slumbers,Lee Hi (이하이),"once there was a way to get back homeward once there was a way to get back home sleep, pretty darling do not cry and i will sing a lullaby  golden slumbers fill your eyes smiles await you when you rise sleep pretty darling do not cry and i will sing a lullaby  once there was a way to get back homeward once there was a way to get back home sleep, pretty darling do not cry and i will sing a lullaby "
